S.No,Title,Total.Gross,Domestic.Gross,Opening.Gross,Foreign.Gross,Theatres.Opening,Theatres.Widest,In.Theatres.wks,Genre,Runtime,MPAA.Rating,CriticRate.RT,UserRating.RT,Budget.mil,Budget,Month,Season,Franchise,Oscar.Nominated,Year
117,Kevin Hart: Laugh at My Pain,8091758,8091758,2003841,0,98,287,14,C,89,R,71,85,0.75,8.00E+05,9,4,0,0,2011
118,Take Me Home Tonight,7927577,7274471,3637913,653105,2003,2003,7,C,114,R,28,42,38,39900000,3,2,0,0,2011
119,Monte Carlo,41651048,24346107,7826641,17304941,2473,2473,13,C,109,PG,38,49,20,2.10E+07,7,3,0,0,2011
120,The Mechanic,65142523,30577573,11993106,34564950,2703,2704,10,A,100,R,53,51,40,4.20E+07,1,1,1,0,2011
121,Megamind,350855484,161773280,50158348,189082204,3944,3949,16,F,96,PG,72,71,130,141700000,11,4,0,0,2010
122,Shutter Island,321336573,139534098,44758060,181802474,2753,3356,16,D,138,R,69,76,80,87200000,2,1,0,0,2010
123,The Chronicles of Narnia: The Voyage of the Dawn Treader,453097977,113781776,26165525,339316201,3555,3555,18,S,112,PG,49,58,155,1.69E+08,12,1,1,0,2010
124,The Twilight Saga: Eclipse,761355568,327579609,70667088,433775960,4468,4468,16.3,S,124,PG13,49,60,68,74100000,6,3,1,0,2010
125,Robin Hood,350620018,114744006,39309090,235876012,3503,3505,12,A,148,PG13,43,58,200,2.18E+08,5,2,0,0,2010
126,Red,216916962,98514377,23719935,118402585,3255,3349,16,A,111,PG13,71,72,58,63200000,10,4,1,0,2010
127,The Tourist,303397346,73717961,17954979,229679385,2756,2756,13,A,103,PG13,20,42,100,1.09E+08,12,1,0,0,2010
128,Prince of Persia: The Sands of Time,366638587,98928047,32803832,267710540,3646,3646,17,A,115,PG13,36,58,200,2.18E+08,5,2,1,0,2010
129,How to Train Your Dragon,539417847,237163542,47668228,302254306,4055,4060,17,F,98,PG,98,91,165,179900000,3,2,1,1,2010
130,The Social Network,245163143,105689336,24465762,139473807,2771,2921,22,D,120,PG13,96,86,40,43600000,10,4,0,1,2010
131,Date Night,165967629,107595430,27476283,58372199,3374,3380,22,C,88,PG13,67,55,55,6.00E+07,4,2,0,0,2010
132,Sex and the City 2,314298984,103928984,33792038,210370000,3285,3445,12.1,C,147,R,15,43,100,1.09E+08,5,2,1,0,2010
133,The A-Team,193190288,84172088,27979706,109018200,3535,3544,14,A,117,PG13,47,66,110,119900000,6,3,1,0,2010
134,The Sorcerer's Apprentice,234659279,68834580,19205388,165824699,3504,3504,15.3,S,111,PG,41,53,150,163500000,7,3,0,0,2010
135,Clash of the Titans (2010),537604342,177904228,66746264,359700114,3777,3802,16,S,118,PG13,28,40,125,136300000,4,2,1,0,2010
136,Marmaduke,91300410,36672819,12643630,54627591,3213,3213,15,F,87,PG,9,42,50,54500000,6,3,0,0,2010
137,The American ,73985146,38810950,14363791,35174196,2823,2823,9.3,D,105,R,66,38,20,21800000,11,4,0,0,2010
138,Step Up 3 ,173628072,46216243,17235419,127411829,2435,2435,13,D,107,PG13,46,64,30,32700000,11,4,1,0,2010
139,Get Him to the Greek ,99475012,66462178,19152341,33012834,2697,2697,10,C,109,R,73,62,40,43600000,8,3,0,0,2010
